object,rt,utterance,response,workerid,Answer.time_in_minutes,slide_number_in_experiment
Patricia,0,bot_check,Patricia,2,6.381083333333334,1
bottle_glass_original,6670,bottle,[0.64],2,6.381083333333334,3
box_cardboard_green,6648,box,[1],2,6.381083333333334,4
spoon_metal_green,16952,spoon,[0.11],2,6.381083333333334,5
jacket_denim_green,3544,jacket,[1],2,6.381083333333334,6
pitcher_plastic_green,5320,pitcher,[0.89],2,6.381083333333334,7
plate_plastic_pink,4208,plate,[1],2,6.381083333333334,8
plate_paper_blue,4888,plate,[0.99],2,6.381083333333334,9
bottle_plastic_green,3144,bottle,[1],2,6.381083333333334,10
bag_plastic_green,5152,bag,[0.97],2,6.381083333333334,11
bowl_metal_original,3512,bowl,[0.96],2,6.381083333333334,12
boot_leather_green,5127,boot,[1],2,6.381083333333334,13
pitcher_glass_blue,13065,pitcher,[1],2,6.381083333333334,14
chair_metal_purple,7096,chair,[0.94],2,6.381083333333334,15
chair_wood_green,4520,chair,[1],2,6.381083333333334,16
pitcher_metal_original,4432,pitcher,[0.75],2,6.381083333333334,17
table_wood_blue,4369,table,[0.81],2,6.381083333333334,18
cup_plastic_blue,4166,cup,[0.99],2,6.381083333333334,19
cup_metal_original,2912,cup,[1],2,6.381083333333334,20
box_wood_blue,3408,box,[0.97],2,6.381083333333334,21
bag_paper_original,97495,bag,[0.87],2,6.381083333333334,22
chair_plastic_original,3185,chair,[1],2,6.381083333333334,23
table_metal_green,5519,table,[0.71],2,6.381083333333334,24
jacket_leather_purple,4848,jacket,[1],2,6.381083333333334,25
boot_rubber_original,3280,boot,[0.87],2,6.381083333333334,26
spoon_plastic_blue,4408,spoon,[1],2,6.381083333333334,27
spoon_wood_original,3464,spoon,[0.7],2,6.381083333333334,28
bowl_glass_blue,3712,bowl,[0.86],2,6.381083333333334,29
Jennifer,0,bot_check,Jennifer,3,1.2116,1
chair_plastic_original,3775,chair,[1],3,1.2116,3
spoon_plastic_blue,2856,spoon,[0.86],3,1.2116,4
chair_wood_green,2976,chair,[1],3,1.2116,5
pitcher_plastic_green,2968,pitcher,[0.89],3,1.2116,6
cup_metal_original,1936,cup,[1],3,1.2116,7
pitcher_glass_blue,1767,pitcher,[1],3,1.2116,8
cup_plastic_blue,1824,cup,[1],3,1.2116,9
boot_rubber_original,2072,boot,[1],3,1.2116,10
bottle_glass_original,2040,bottle,[0.87],3,1.2116,11
jacket_leather_purple,1936,jacket,[0.39],3,1.2116,12
bag_paper_original,1888,bag,[1],3,1.2116,13
plate_paper_blue,1496,plate,[0.58],3,1.2116,14
jacket_denim_green,1751,jacket,[1],3,1.2116,15
spoon_wood_original,1920,spoon,[0.68],3,1.2116,16
plate_plastic_pink,1968,plate,[1],3,1.2116,17
box_cardboard_green,2143,box,[0.83],3,1.2116,18
table_metal_green,2112,table,[0.84],3,1.2116,19
bottle_plastic_green,2088,bottle,[1],3,1.2116,20
box_wood_blue,2007,box,[1],3,1.2116,21
table_wood_blue,2168,table,[1],3,1.2116,22
pitcher_metal_original,1704,pitcher,[1],3,1.2116,23
boot_leather_green,2064,boot,[0.87],3,1.2116,24
chair_metal_purple,1808,chair,[0.5],3,1.2116,25
bag_plastic_green,1608,bag,[1],3,1.2116,26
spoon_metal_green,2343,spoon,[0.42],3,1.2116,27
bowl_glass_blue,1928,bowl,[1],3,1.2116,28
bowl_metal_original,1736,bowl,[1],3,1.2116,29
Jessica,0,bot_check,Jessica,4,1.6238166666666667,1
bag_paper_original,3429,bag,[0.84],4,1.6238166666666667,3
jacket_denim_green,2583,jacket,[0.87],4,1.6238166666666667,4
plate_plastic_pink,3002,plate,[0.52],4,1.6238166666666667,5
chair_plastic_original,1933,chair,[0.49],4,1.6238166666666667,6
spoon_wood_original,2006,spoon,[0.97],4,1.6238166666666667,7
cup_metal_original,2407,cup,[0.14],4,1.6238166666666667,8
chair_metal_purple,2570,chair,[0.53],4,1.6238166666666667,9
jacket_leather_purple,2904,jacket,[0.78],4,1.6238166666666667,10
pitcher_glass_blue,2573,pitcher,[0.61],4,1.6238166666666667,11
box_wood_blue,3319,box,[0.26],4,1.6238166666666667,12
spoon_metal_green,3335,spoon,[0.17],4,1.6238166666666667,13
box_cardboard_green,2592,box,[0.15],4,1.6238166666666667,14
pitcher_metal_original,1779,pitcher,[0.79],4,1.6238166666666667,15
boot_rubber_original,2141,boot,[0.99],4,1.6238166666666667,16
table_metal_green,2270,table,[0.16],4,1.6238166666666667,17
table_wood_blue,2161,table,[0.15],4,1.6238166666666667,18
boot_leather_green,1999,boot,[0.1],4,1.6238166666666667,19
pitcher_plastic_green,2191,pitcher,[0.79],4,1.6238166666666667,20
bag_plastic_green,2410,bag,[0.8],4,1.6238166666666667,21
plate_paper_blue,2852,plate,[0],4,1.6238166666666667,22
bottle_glass_original,2945,bottle,[0.97],4,1.6238166666666667,23
cup_plastic_blue,1886,cup,[0.92],4,1.6238166666666667,24
spoon_plastic_blue,1719,spoon,[0.77],4,1.6238166666666667,25
bottle_plastic_green,2201,bottle,[0.99],4,1.6238166666666667,26
bowl_metal_original,2335,bowl,[1],4,1.6238166666666667,27
bowl_glass_blue,2906,bowl,[0.81],4,1.6238166666666667,28
chair_wood_green,3726,chair,[0.53],4,1.6238166666666667,29
Sarah,0,bot_check,sarah,5,15.240366666666667,1
spoon_metal_green,9791,spoon,[0.86],5,15.240366666666667,3
bag_paper_original,3417,bag,[0.99],5,15.240366666666667,4
cup_metal_original,4317,cup,[0.89],5,15.240366666666667,5
boot_rubber_original,3383,boot,[0.81],5,15.240366666666667,6
plate_plastic_pink,3060,plate,[0.93],5,15.240366666666667,7
bottle_plastic_green,3442,bottle,[0.99],5,15.240366666666667,8
plate_paper_blue,2320,plate,[0.91],5,15.240366666666667,9
chair_wood_green,5087,chair,[0.94],5,15.240366666666667,10
pitcher_glass_blue,6181,pitcher,[0.95],5,15.240366666666667,11
spoon_wood_original,3528,spoon,[0.97],5,15.240366666666667,12
box_cardboard_green,4832,box,[0.74],5,15.240366666666667,13
spoon_plastic_blue,3366,spoon,[0.85],5,15.240366666666667,14
box_wood_blue,2849,box,[0.72],5,15.240366666666667,15
jacket_denim_green,4729,jacket,[0.94],5,15.240366666666667,16
bottle_glass_original,2923,bottle,[0.99],5,15.240366666666667,17
pitcher_metal_original,5209,pitcher,[0.94],5,15.240366666666667,18
jacket_leather_purple,3602,jacket,[0.96],5,15.240366666666667,19
bag_plastic_green,4526,bag,[0.99],5,15.240366666666667,20
boot_leather_green,6391,boot,[0.41],5,15.240366666666667,21
chair_metal_purple,3266,chair,[0.78],5,15.240366666666667,22
table_metal_green,4122,table,[0.71],5,15.240366666666667,23
pitcher_plastic_green,2612,pitcher,[0.99],5,15.240366666666667,24
bowl_glass_blue,2224,bowl,[0.99],5,15.240366666666667,25
cup_plastic_blue,4376,cup,[0.99],5,15.240366666666667,26
table_wood_blue,2915,table,[0.75],5,15.240366666666667,27
chair_plastic_original,3939,chair,[0.79],5,15.240366666666667,28
bowl_metal_original,2336,bowl,[0.99],5,15.240366666666667,29
Susan,0,bot_check,Susan,6,6.700333333333333,1
chair_plastic_original,5630,chair,[1],6,6.700333333333333,3
bowl_glass_blue,3494,bowl,[0.99],6,6.700333333333333,4
cup_plastic_blue,3520,cup,[0.94],6,6.700333333333333,5
cup_metal_original,4134,cup,[0.86],6,6.700333333333333,6
spoon_wood_original,3320,spoon,[1],6,6.700333333333333,7
pitcher_glass_blue,3863,pitcher,[0.93],6,6.700333333333333,8
chair_metal_purple,4456,chair,[0.99],6,6.700333333333333,9
chair_wood_green,5671,chair,[0.94],6,6.700333333333333,10
bottle_plastic_green,4321,bottle,[0.96],6,6.700333333333333,11
bowl_metal_original,2920,bowl,[1],6,6.700333333333333,12
table_metal_green,5335,table,[0.87],6,6.700333333333333,13
box_wood_blue,11201,box,[0.66],6,6.700333333333333,14
bottle_glass_original,5391,bottle,[0.77],6,6.700333333333333,15
box_cardboard_green,4056,box,[0.9],6,6.700333333333333,16
plate_paper_blue,4472,plate,[0.79],6,6.700333333333333,17
table_wood_blue,3000,table,[0.92],6,6.700333333333333,18
bag_paper_original,2576,bag,[0.96],6,6.700333333333333,19
jacket_denim_green,7048,jacket,[0.75],6,6.700333333333333,20
bag_plastic_green,4840,bag,[0.84],6,6.700333333333333,21
pitcher_plastic_green,3241,pitcher,[0.95],6,6.700333333333333,22
plate_plastic_pink,2895,plate,[0.8],6,6.700333333333333,23
jacket_leather_purple,4768,jacket,[0.75],6,6.700333333333333,24
boot_rubber_original,3393,boot,[0.87],6,6.700333333333333,25
pitcher_metal_original,3135,pitcher,[0.92],6,6.700333333333333,26
boot_leather_green,5338,boot,[0.61],6,6.700333333333333,27
spoon_metal_green,8645,spoon,[0.86],6,6.700333333333333,28
spoon_plastic_blue,3208,spoon,[0.91],6,6.700333333333333,29
Elizabeth,0,bot_check,Elizabeth,7,3.6301666666666668,1
chair_metal_purple,10272,chair,[0.84],7,3.6301666666666668,3
bowl_metal_original,2900,bowl,[0.85],7,3.6301666666666668,4
spoon_wood_original,3759,spoon,[0.91],7,3.6301666666666668,5
table_metal_green,4253,table,[0.65],7,3.6301666666666668,6
spoon_metal_green,3251,spoon,[0.93],7,3.6301666666666668,7
cup_metal_original,4965,cup,[0.91],7,3.6301666666666668,8
jacket_leather_purple,6444,jacket,[0.71],7,3.6301666666666668,9
bowl_glass_blue,6307,bowl,[0.86],7,3.6301666666666668,10
pitcher_glass_blue,3915,pitcher,[0.67],7,3.6301666666666668,11
jacket_denim_green,2945,jacket,[1],7,3.6301666666666668,12
boot_leather_green,2657,boot,[0.94],7,3.6301666666666668,13
table_wood_blue,2746,table,[0.94],7,3.6301666666666668,14
plate_plastic_pink,2869,plate,[0.68],7,3.6301666666666668,15
pitcher_plastic_green,2739,pitcher,[0.44],7,3.6301666666666668,16
chair_plastic_original,3010,chair,[0.4],7,3.6301666666666668,17
boot_rubber_original,3814,boot,[0.91],7,3.6301666666666668,18
spoon_plastic_blue,2536,spoon,[0.9],7,3.6301666666666668,19
chair_wood_green,3244,chair,[1],7,3.6301666666666668,20
bag_plastic_green,6758,bag,[0.9],7,3.6301666666666668,21
pitcher_metal_original,4191,pitcher,[0.17],7,3.6301666666666668,22
box_cardboard_green,2862,box,[0.9],7,3.6301666666666668,23
box_wood_blue,6089,box,[0.24],7,3.6301666666666668,24
bottle_glass_original,3186,bottle,[0.09],7,3.6301666666666668,25
cup_plastic_blue,2535,cup,[1],7,3.6301666666666668,26
bottle_plastic_green,2512,bottle,[1],7,3.6301666666666668,27
bag_paper_original,2347,bag,[1],7,3.6301666666666668,28
plate_paper_blue,2914,plate,[0.39],7,3.6301666666666668,29
Elizabeth,0,bot_check,Elizabeth,8,2.272266666666667,1
chair_wood_green,5383,chair,[0.42],8,2.272266666666667,3
plate_plastic_pink,3928,plate,[0.38],8,2.272266666666667,4
box_cardboard_green,3816,box,[0.04],8,2.272266666666667,5
jacket_denim_green,6024,jacket,[0.41],8,2.272266666666667,6
table_wood_blue,2672,table,[0.28],8,2.272266666666667,7
box_wood_blue,3344,box,[0.16],8,2.272266666666667,8
bowl_metal_original,5120,bowl,[0.98],8,2.272266666666667,9
chair_metal_purple,2960,chair,[0.03],8,2.272266666666667,10
pitcher_glass_blue,4554,pitcher,[0.66],8,2.272266666666667,11
cup_plastic_blue,3904,cup,[0.79],8,2.272266666666667,12
boot_rubber_original,3486,boot,[0.99],8,2.272266666666667,13
table_metal_green,2872,table,[0.11],8,2.272266666666667,14
pitcher_metal_original,6567,pitcher,[0.77],8,2.272266666666667,15
bag_paper_original,2600,bag,[0.96],8,2.272266666666667,16
boot_leather_green,2655,boot,[0.03],8,2.272266666666667,17
spoon_plastic_blue,3080,spoon,[0.13],8,2.272266666666667,18
bottle_glass_original,2688,bottle,[0.53],8,2.272266666666667,19
spoon_metal_green,6207,spoon,[0.03],8,2.272266666666667,20
spoon_wood_original,3130,spoon,[0.99],8,2.272266666666667,21
cup_metal_original,5199,cup,[0.81],8,2.272266666666667,22
chair_plastic_original,3135,chair,[0.24],8,2.272266666666667,23
pitcher_plastic_green,3584,pitcher,[0.14],8,2.272266666666667,24
bag_plastic_green,5056,bag,[0.37],8,2.272266666666667,25
bottle_plastic_green,2960,bottle,[0.35],8,2.272266666666667,26
bowl_glass_blue,2679,bowl,[0.88],8,2.272266666666667,27
plate_paper_blue,4711,plate,[0.12],8,2.272266666666667,28
jacket_leather_purple,4008,jacket,[0.35],8,2.272266666666667,29
Susan,0,bot_check,Susan,9,2.834433333333333,1
jacket_leather_purple,9341,jacket,[0.39],9,2.834433333333333,3
table_wood_blue,4738,table,[0.23],9,2.834433333333333,4
boot_rubber_original,3628,boot,[0.82],9,2.834433333333333,5
bottle_glass_original,4369,bottle,[0.65],9,2.834433333333333,6
pitcher_plastic_green,5633,pitcher,[0.91],9,2.834433333333333,7
bottle_plastic_green,3798,bottle,[0.93],9,2.834433333333333,8
pitcher_metal_original,7915,pitcher,[0.22],9,2.834433333333333,9
cup_plastic_blue,3904,cup,[0.93],9,2.834433333333333,10
bowl_glass_blue,3843,bowl,[0.95],9,2.834433333333333,11
chair_metal_purple,5197,chair,[0.13],9,2.834433333333333,12
plate_plastic_pink,4082,plate,[0.38],9,2.834433333333333,13
bag_plastic_green,6319,bag,[0.51],9,2.834433333333333,14
bag_paper_original,4980,bag,[0.93],9,2.834433333333333,15
spoon_metal_green,4718,spoon,[0.08],9,2.834433333333333,16
spoon_wood_original,3682,spoon,[0.92],9,2.834433333333333,17
box_cardboard_green,3795,box,[0.21],9,2.834433333333333,18
plate_paper_blue,4217,plate,[0.38],9,2.834433333333333,19
chair_wood_green,4376,chair,[0.5],9,2.834433333333333,20
table_metal_green,4184,table,[0.34],9,2.834433333333333,21
pitcher_glass_blue,3717,pitcher,[0.48],9,2.834433333333333,22
bowl_metal_original,3679,bowl,[0.95],9,2.834433333333333,23
cup_metal_original,6319,cup,[0.08],9,2.834433333333333,24
spoon_plastic_blue,4134,spoon,[0.19],9,2.834433333333333,25
jacket_denim_green,5281,jacket,[0.76],9,2.834433333333333,26
box_wood_blue,4979,box,[0.24],9,2.834433333333333,27
chair_plastic_original,3348,chair,[0.49],9,2.834433333333333,28
boot_leather_green,5516,boot,[0.17],9,2.834433333333333,29
Patricia,0,bot_check,Patricia,10,1.7752833333333333,1
boot_leather_green,4274,boot,[0],10,1.7752833333333333,3
pitcher_glass_blue,2381,pitcher,[1],10,1.7752833333333333,4
cup_metal_original,4586,cup,[0.48],10,1.7752833333333333,5
cup_plastic_blue,2188,cup,[1],10,1.7752833333333333,6
chair_plastic_original,4508,chair,[0.74],10,1.7752833333333333,7
box_cardboard_green,3562,box,[0.14],10,1.7752833333333333,8
jacket_leather_purple,3196,jacket,[0.49],10,1.7752833333333333,9
table_metal_green,3384,table,[0],10,1.7752833333333333,10
chair_metal_purple,2188,chair,[0.49],10,1.7752833333333333,11
table_wood_blue,2194,table,[0.51],10,1.7752833333333333,12
bowl_glass_blue,2072,bowl,[1],10,1.7752833333333333,13
boot_rubber_original,2194,boot,[1],10,1.7752833333333333,14
bottle_glass_original,2737,bottle,[0.48],10,1.7752833333333333,15
plate_plastic_pink,2570,plate,[1],10,1.7752833333333333,16
pitcher_plastic_green,4132,pitcher,[0.52],10,1.7752833333333333,17
chair_wood_green,2750,chair,[0],10,1.7752833333333333,18
plate_paper_blue,3204,plate,[0.53],10,1.7752833333333333,19
spoon_wood_original,2024,spoon,[1],10,1.7752833333333333,20
bottle_plastic_green,4298,bottle,[1],10,1.7752833333333333,21
spoon_plastic_blue,3468,spoon,[1],10,1.7752833333333333,22
bowl_metal_original,1954,bowl,[1],10,1.7752833333333333,23
pitcher_metal_original,2086,pitcher,[1],10,1.7752833333333333,24
bag_plastic_green,2350,bag,[1],10,1.7752833333333333,25
jacket_denim_green,2766,jacket,[0],10,1.7752833333333333,26
box_wood_blue,4728,box,[0.48],10,1.7752833333333333,27
bag_paper_original,2398,bag,[0.97],10,1.7752833333333333,28
spoon_metal_green,3688,spoon,[1],10,1.7752833333333333,29
Linda,0,bot_check,Linda,11,4.96215,1
boot_rubber_original,4919,boot,[0.84],11,4.96215,3
bowl_glass_blue,2396,bowl,[0.72],11,4.96215,4
plate_paper_blue,2039,plate,[0.84],11,4.96215,5
box_cardboard_green,2323,box,[0.87],11,4.96215,6
bag_plastic_green,2206,bag,[0.78],11,4.96215,7
cup_metal_original,43092,cup,[0.85],11,4.96215,8
table_wood_blue,3799,table,[0.87],11,4.96215,9
bowl_metal_original,11032,bowl,[0.86],11,4.96215,10
cup_plastic_blue,10489,cup,[0.9],11,4.96215,11
jacket_denim_green,4508,jacket,[0.82],11,4.96215,12
chair_metal_purple,3241,chair,[0.84],11,4.96215,13
box_wood_blue,28509,box,[0.64],11,4.96215,14
bottle_glass_original,42681,bottle,[0.72],11,4.96215,15
pitcher_metal_original,2623,pitcher,[0.83],11,4.96215,16
boot_leather_green,3656,boot,[0.89],11,4.96215,17
plate_plastic_pink,2771,plate,[0.9],11,4.96215,18
pitcher_plastic_green,2608,pitcher,[0.85],11,4.96215,19
table_metal_green,17420,table,[0.76],11,4.96215,20
pitcher_glass_blue,2044,pitcher,[0.83],11,4.96215,21
chair_wood_green,5300,chair,[0.84],11,4.96215,22
jacket_leather_purple,9865,jacket,[0.88],11,4.96215,23
chair_plastic_original,3817,chair,[0.81],11,4.96215,24
spoon_metal_green,9107,spoon,[0.84],11,4.96215,25
spoon_plastic_blue,2159,spoon,[0.78],11,4.96215,26
bottle_plastic_green,2452,bottle,[0.86],11,4.96215,27
spoon_wood_original,2344,spoon,[0.87],11,4.96215,28
bag_paper_original,2159,bag,[0.87],11,4.96215,29
Linda,0,bot_check,Linda,12,1.7666,1
bottle_plastic_green,3799,bottle,[1],12,1.7666,3
jacket_denim_green,3587,jacket,[1],12,1.7666,4
table_metal_green,2444,table,[1],12,1.7666,5
bottle_glass_original,3395,bottle,[0.78],12,1.7666,6
chair_plastic_original,2787,chair,[0.96],12,1.7666,7
bowl_glass_blue,1919,bowl,[1],12,1.7666,8
boot_leather_green,2244,boot,[1],12,1.7666,9
table_wood_blue,2403,table,[1],12,1.7666,10
box_cardboard_green,2059,box,[1],12,1.7666,11
cup_metal_original,3811,cup,[0.78],12,1.7666,12
bowl_metal_original,2116,bowl,[1],12,1.7666,13
plate_plastic_pink,2112,plate,[1],12,1.7666,14
pitcher_plastic_green,2325,pitcher,[1],12,1.7666,15
spoon_wood_original,16779,spoon,[0.66],12,1.7666,16
boot_rubber_original,3413,boot,[0.68],12,1.7666,17
cup_plastic_blue,2163,cup,[1],12,1.7666,18
chair_wood_green,3364,chair,[0.88],12,1.7666,19
spoon_plastic_blue,2107,spoon,[1],12,1.7666,20
pitcher_glass_blue,2356,pitcher,[0.76],12,1.7666,21
spoon_metal_green,2208,spoon,[1],12,1.7666,22
chair_metal_purple,3428,chair,[0.76],12,1.7666,23
bag_plastic_green,2716,bag,[1],12,1.7666,24
box_wood_blue,3904,box,[0.64],12,1.7666,25
jacket_leather_purple,2692,jacket,[0.52],12,1.7666,26
plate_paper_blue,2528,plate,[1],12,1.7666,27
bag_paper_original,2036,bag,[1],12,1.7666,28
pitcher_metal_original,2788,pitcher,[0.64],12,1.7666,29
Patricia,0,bot_check,PATRICIA,13,1.8003166666666666,1
spoon_plastic_blue,3313,spoon,[0.92],13,1.8003166666666666,3
spoon_wood_original,2229,spoon,[0.84],13,1.8003166666666666,4
bowl_glass_blue,2024,bowl,[0.93],13,1.8003166666666666,5
box_wood_blue,2449,box,[0.9],13,1.8003166666666666,6
jacket_denim_green,3896,jacket,[0.93],13,1.8003166666666666,7
plate_paper_blue,7488,plate,[0.97],13,1.8003166666666666,8
pitcher_metal_original,3766,pitcher,[0.88],13,1.8003166666666666,9
chair_metal_purple,2169,chair,[0.91],13,1.8003166666666666,10
box_cardboard_green,2381,box,[0.89],13,1.8003166666666666,11
pitcher_glass_blue,2116,pitcher,[0.91],13,1.8003166666666666,12
plate_plastic_pink,2658,plate,[0.89],13,1.8003166666666666,13
pitcher_plastic_green,2876,pitcher,[0.94],13,1.8003166666666666,14
bowl_metal_original,2599,bowl,[0.95],13,1.8003166666666666,15
bag_paper_original,3086,bag,[0.94],13,1.8003166666666666,16
spoon_metal_green,2737,spoon,[0.91],13,1.8003166666666666,17
bag_plastic_green,2754,bag,[0.9],13,1.8003166666666666,18
table_metal_green,2661,table,[0.92],13,1.8003166666666666,19
bottle_glass_original,4231,bottle,[0.93],13,1.8003166666666666,20
jacket_leather_purple,3189,jacket,[0.9],13,1.8003166666666666,21
chair_plastic_original,2307,chair,[0.92],13,1.8003166666666666,22
cup_metal_original,4610,cup,[0.89],13,1.8003166666666666,23
cup_plastic_blue,3610,cup,[0.93],13,1.8003166666666666,24
boot_rubber_original,2552,boot,[0.89],13,1.8003166666666666,25
table_wood_blue,2146,table,[0.89],13,1.8003166666666666,26
bottle_plastic_green,2784,bottle,[0.91],13,1.8003166666666666,27
chair_wood_green,2133,chair,[0.89],13,1.8003166666666666,28
boot_leather_green,1920,boot,[0.9],13,1.8003166666666666,29
Jessica,0,bot_check,Jessica,14,4.881366666666667,1
cup_metal_original,23529,cup,[0.76],14,4.881366666666667,3
boot_rubber_original,9956,boot,[0.99],14,4.881366666666667,4
spoon_wood_original,6371,spoon,[0.98],14,4.881366666666667,5
cup_plastic_blue,10088,cup,[0.99],14,4.881366666666667,6
bag_paper_original,7356,bag,[0.99],14,4.881366666666667,7
bottle_plastic_green,7184,bottle,[0.98],14,4.881366666666667,8
jacket_leather_purple,6625,jacket,[0.98],14,4.881366666666667,9
bowl_glass_blue,3774,bowl,[0.98],14,4.881366666666667,10
chair_plastic_original,6316,chair,[0.73],14,4.881366666666667,11
bottle_glass_original,5579,bottle,[0.97],14,4.881366666666667,12
spoon_plastic_blue,7001,spoon,[0.97],14,4.881366666666667,13
bowl_metal_original,4516,bowl,[0.97],14,4.881366666666667,14
spoon_metal_green,8003,spoon,[0.21],14,4.881366666666667,15
table_metal_green,4270,table,[0.98],14,4.881366666666667,16
boot_leather_green,4241,boot,[0.97],14,4.881366666666667,17
bag_plastic_green,7617,bag,[0.96],14,4.881366666666667,18
plate_plastic_pink,4051,plate,[0.97],14,4.881366666666667,19
pitcher_metal_original,6078,pitcher,[0.97],14,4.881366666666667,20
pitcher_plastic_green,3953,pitcher,[0.97],14,4.881366666666667,21
box_wood_blue,9278,box,[0.84],14,4.881366666666667,22
pitcher_glass_blue,5729,pitcher,[0.98],14,4.881366666666667,23
table_wood_blue,4504,table,[0.98],14,4.881366666666667,24
chair_metal_purple,4174,chair,[0.98],14,4.881366666666667,25
plate_paper_blue,5096,plate,[0.99],14,4.881366666666667,26
box_cardboard_green,3955,box,[0.98],14,4.881366666666667,27
jacket_denim_green,5457,jacket,[0.97],14,4.881366666666667,28
chair_wood_green,8717,chair,[0.97],14,4.881366666666667,29
