slide_number_in_experiment,rt,object,Answer.time_in_minutes,workerid,utterance,response
30,3695,spoon_wood_blue,4.653316666666667,1,spoon,[0.76]
31,3232,boot_leather_original,4.653316666666667,1,boot,[0.9]
1,0,Susan,2.0921833333333333,2,bot_check,Susan
3,3530,box_cardboard_original,2.0921833333333333,2,box,[0.99]
4,5052,jacket_denim_original,2.0921833333333333,2,jacket,[0.75]
5,3857,pitcher_plastic_original,2.0921833333333333,2,pitcher,[0.98]
6,5548,plate_paper_green,2.0921833333333333,2,plate,[0.64]
7,5543,box_wood_green,2.0921833333333333,2,box,[0.36]
8,2766,bag_plastic_original,2.0921833333333333,2,bag,[0.65]
9,4477,chair_metal_green,2.0921833333333333,2,chair,[0.71]
10,4006,bowl_glass_green,2.0921833333333333,2,bowl,[0.7]
11,4526,bottle_glass_blue,2.0921833333333333,2,bottle,[0.43]
12,3141,ball_plastic_green,2.0921833333333333,2,ball,[0.89]
13,4070,spoon_wood_blue,2.0921833333333333,2,spoon,[0.23]
14,3072,pitcher_metal_blue,2.0921833333333333,2,pitcher,[0.88]
15,3589,bottle_plastic_original,2.0921833333333333,2,bottle,[0.91]
16,3486,table_wood_green,2.0921833333333333,2,table,[0.93]
17,4000,table_metal_original,2.0921833333333333,2,table,[0.7]
18,4078,jacket_leather_green,2.0921833333333333,2,jacket,[0.23]
19,3182,chair_plastic_purple,2.0921833333333333,2,chair,[0.89]
20,4955,cup_metal_blue,2.0921833333333333,2,cup,[0.51]
21,3598,bag_paper_blue,2.0921833333333333,2,bag,[0.6]
22,2619,spoon_plastic_green,2.0921833333333333,2,spoon,[0.92]
23,2648,ball_rubber_blue,2.0921833333333333,2,ball,[0.94]
24,3522,bowl_metal_blue,2.0921833333333333,2,bowl,[0.74]
25,3916,boot_leather_original,2.0921833333333333,2,boot,[0.7]
26,3134,pitcher_glass_green,2.0921833333333333,2,pitcher,[0.91]
27,4037,boot_rubber_green,2.0921833333333333,2,boot,[0.49]
28,3370,chair_wood_original,2.0921833333333333,2,chair,[0.94]
29,3916,plate_plastic_green,2.0921833333333333,2,plate,[0.69]
30,2829,spoon_metal_original,2.0921833333333333,2,spoon,[1]
31,3428,cup_plastic_original,2.0921833333333333,2,cup,[0.79]
