slide_number_in_experiment,trial_type,label,object,rt,response,Browser,OS,screenH,screenW,language,enjoyment,age,gender,education,comments,problems,fairprice,participant_id
58,adjective_ordering,woman2_happy_fat,woman2,14888,smiling woman,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
59,overinformativeness,pepper_big_green,pepper,10911,green sweet pepper,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
60,overinformativeness,ball_big_purple,ball,7889,purple ball,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
61,overinformativeness,pants_big_green,pants,7823,green pants,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
62,adjective_ordering,shorts_dry_green,shorts,9544,green shorts,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
63,overinformativeness,dress_big_blue,dress,8399,blue dress,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
64,overinformativeness,brush_big_red,brush,8807,red paintbrush,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
65,overinformativeness,umbrella_big_blue,umbrella,7112,blue umbrella,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
66,overinformativeness,shoe_big_yellow,shoe,11112,yellow converse high tops,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
67,overinformativeness,book_big_blue,book,10832,blue book,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
68,adjective_ordering,woman_young_happy,woman,10632,smiling woman,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
69,overinformativeness,key_big_gold,key,8119,gold key,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
70,overinformativeness,scissors_big_blue,scissors,10224,blue scissors,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
71,overinformativeness,knife_big_red,knife,8088,red paring knife,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
72,adjective_ordering,bottle_plastic_big,bottle,9007,water bottle,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
73,overinformativeness,tie_big_red,tie,63167,red neck tie,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
74,overinformativeness,car_big_blue,car,15808,blue coupe car,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
75,overinformativeness,bag_big_red,bag,8576,red backpack,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
76,overinformativeness,book_big_red,book,7191,red book,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
77,overinformativeness,lock_big_silver,lock,10576,silver lock,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
78,adjective_ordering,picture_bw_square,picture,20832,framed landscape picture,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
79,overinformativeness,glove_big_green,glove,9247,green gloves,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
80,overinformativeness,tie_big_blue,tie,10799,blue neck tie,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
81,adjective_ordering,nails_red_matte,nail_polish,16321,red finger nails,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
82,overinformativeness,lighter_big_white,lighter,8528,white bic lighter,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
83,overinformativeness,lock_big_gold,lock,7423,gold lock,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
84,overinformativeness,pot_big_green,pot,8864,green pot,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
85,adjective_ordering,frog_spotted_green,frog,10584,polka dot frog,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
86,overinformativeness,rosary_big_yellow,rosary,13431,wooden rosary,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
87,overinformativeness,car_big_green,car,11831,green coupe car,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
88,overinformativeness,chair_big_yellow,chair,13392,wooden chair,Chrome,Windows,1080,1920,,-1,,,-1,,,,837075
