workerid,object,slide_number_in_experiment,utterance,rt,response,Answer.time_in_minutes
0,pitcher_glass_blue,28,pitcher,3694,"[0.39, 0.25]",3.3139833333333333
0,bag_paper_original,29,bag,3248,"[0.83, 0.94]",3.3139833333333333
1,Jennifer,1,bot_check,0,Jennifer,3.5516833333333335
1,table_wood_blue,3,table,11809,"[0.76, 0.34]",3.5516833333333335
1,spoon_plastic_blue,4,spoon,6619,"[0.84, 0.55]",3.5516833333333335
1,pitcher_plastic_green,5,pitcher,5619,"[0.97, 0.51]",3.5516833333333335
1,chair_plastic_original,6,chair,12651,"[0.19, 0.48]",3.5516833333333335
1,box_wood_blue,7,box,9909,"[0.78, 0.28]",3.5516833333333335
1,spoon_wood_original,8,spoon,5564,"[0.97, 0.98]",3.5516833333333335
1,plate_paper_blue,9,plate,7483,"[0.72, 0.29]",3.5516833333333335
1,pitcher_glass_blue,10,pitcher,6632,"[0.96, 0.97]",3.5516833333333335
1,spoon_metal_green,11,spoon,5327,"[0.35, 0.31]",3.5516833333333335
1,bowl_glass_blue,12,bowl,3865,"[0.97, 1]",3.5516833333333335
1,cup_plastic_blue,13,cup,4162,"[0.98, 1]",3.5516833333333335
1,bowl_metal_original,14,bowl,3093,"[1, 1]",3.5516833333333335
1,jacket_denim_green,15,jacket,4650,"[1, 0.8]",3.5516833333333335
1,bag_plastic_green,16,bag,3662,"[1, 0.91]",3.5516833333333335
1,box_cardboard_green,17,box,4442,"[0.98, 0.15]",3.5516833333333335
1,plate_plastic_pink,18,plate,6102,"[0.99, 0.74]",3.5516833333333335
1,bottle_glass_original,19,bottle,3485,"[1, 1]",3.5516833333333335
1,boot_rubber_original,20,boot,7263,"[0.98, 0.98]",3.5516833333333335
1,jacket_leather_purple,21,jacket,4241,"[0.96, 0.52]",3.5516833333333335
1,chair_metal_purple,22,chair,4824,"[1, 0.18]",3.5516833333333335
1,table_metal_green,23,table,3924,"[0.99, 0.15]",3.5516833333333335
1,bag_paper_original,24,bag,3362,"[0.97, 1]",3.5516833333333335
1,bottle_plastic_green,25,bottle,5034,"[0.99, 1]",3.5516833333333335
1,boot_leather_green,26,boot,3266,"[0.99, 0.22]",3.5516833333333335
1,cup_metal_original,27,cup,2966,"[1, 0.98]",3.5516833333333335
1,chair_wood_green,28,chair,9775,"[0.88, 0.22]",3.5516833333333335
1,pitcher_metal_original,29,pitcher,3197,"[0.99, 0.97]",3.5516833333333335
2,Mary,1,bot_check,0,mary,1.4514333333333334
2,boot_leather_green,3,boot,6175,"[0.57, 0.52]",1.4514333333333334
2,bottle_glass_original,4,bottle,3432,"[0.69, 0.61]",1.4514333333333334
2,table_metal_green,5,table,2767,"[0.5, 0.41]",1.4514333333333334
2,cup_plastic_blue,6,cup,2468,"[0.59, 0.56]",1.4514333333333334
2,chair_metal_purple,7,chair,3144,"[0.37, 0.36]",1.4514333333333334
2,bag_plastic_green,8,bag,2692,"[0.39, 0.27]",1.4514333333333334
2,chair_plastic_original,9,chair,2660,"[0.51, 0.5]",1.4514333333333334
2,plate_plastic_pink,10,plate,2445,"[0.53, 0.53]",1.4514333333333334
2,spoon_wood_original,11,spoon,2143,"[0.45, 0.43]",1.4514333333333334
2,cup_metal_original,12,cup,3037,"[0.61, 0.39]",1.4514333333333334
2,pitcher_plastic_green,13,pitcher,2598,"[0.43, 0.25]",1.4514333333333334
2,bag_paper_original,14,bag,2930,"[0.53, 0.5]",1.4514333333333334
2,pitcher_metal_original,15,pitcher,5436,"[0.53, 0.5]",1.4514333333333334
2,table_wood_blue,16,table,2722,"[0.38, 0.42]",1.4514333333333334
2,jacket_denim_green,17,jacket,2698,"[0.62, 0.38]",1.4514333333333334
2,bottle_plastic_green,18,bottle,2405,"[0.49, 0.5]",1.4514333333333334
2,bowl_metal_original,19,bowl,2005,"[0.68, 0.57]",1.4514333333333334
2,spoon_plastic_blue,20,spoon,2736,"[0.47, 0.24]",1.4514333333333334
2,pitcher_glass_blue,21,pitcher,2411,"[0.54, 0.33]",1.4514333333333334
2,boot_rubber_original,22,boot,2976,"[0.54, 0.35]",1.4514333333333334
2,jacket_leather_purple,23,jacket,3052,"[0.47, 0.4]",1.4514333333333334
2,plate_paper_blue,24,plate,2336,"[0.36, 0.39]",1.4514333333333334
2,box_wood_blue,25,box,2023,"[0.3, 0.35]",1.4514333333333334
2,chair_wood_green,26,chair,1879,"[0.35, 0.37]",1.4514333333333334
2,spoon_metal_green,27,spoon,2406,"[0.3, 0.29]",1.4514333333333334
2,box_cardboard_green,28,box,1990,"[0.3, 0.21]",1.4514333333333334
2,bowl_glass_blue,29,bowl,2690,"[0.45, 0.36]",1.4514333333333334
3,Jessica,1,bot_check,0,Jessica,4.474466666666666
3,jacket_denim_green,3,jacket,7664,"[0.87, 0.37]",4.474466666666666
3,chair_metal_purple,4,chair,8936,"[0.76, 0.36]",4.474466666666666
3,table_metal_green,5,table,7694,"[0.66, 0.1]",4.474466666666666
3,plate_plastic_pink,6,plate,8124,"[0.8, 0.66]",4.474466666666666
3,bottle_glass_original,7,bottle,9207,"[0.7, 1]",4.474466666666666
3,spoon_plastic_blue,8,spoon,7785,"[0.95, 0.64]",4.474466666666666
3,chair_wood_green,9,chair,7282,"[0.86, 0.05]",4.474466666666666
3,pitcher_glass_blue,10,pitcher,9951,"[0.85, 0.6]",4.474466666666666
3,box_cardboard_green,11,box,6867,"[0.86, 0.09]",4.474466666666666
3,boot_leather_green,12,boot,7363,"[0.8, 0.23]",4.474466666666666
3,bowl_metal_original,13,bowl,7821,"[0.91, 0.98]",4.474466666666666
3,spoon_metal_green,14,spoon,16193,"[0.36, 0.08]",4.474466666666666
3,table_wood_blue,15,table,9514,"[0.86, 0.33]",4.474466666666666
3,cup_metal_original,16,cup,16523,"[0.19, 0.35]",4.474466666666666
3,boot_rubber_original,17,boot,9205,"[0.81, 0.98]",4.474466666666666
3,jacket_leather_purple,18,jacket,7731,"[0.99, 0.38]",4.474466666666666
3,pitcher_plastic_green,19,pitcher,11062,"[0.81, 0.51]",4.474466666666666
3,spoon_wood_original,20,spoon,6189,"[0.93, 0.97]",4.474466666666666
3,chair_plastic_original,21,chair,9904,"[0.77, 0.49]",4.474466666666666
3,plate_paper_blue,22,plate,6083,"[0.89, 0.71]",4.474466666666666
3,bag_plastic_green,23,bag,9430,"[0.41, 0.16]",4.474466666666666
3,cup_plastic_blue,24,cup,6030,"[0.82, 0.76]",4.474466666666666
3,bottle_plastic_green,25,bottle,6309,"[0.58, 0.57]",4.474466666666666
3,bowl_glass_blue,26,bowl,10173,"[0.71, 0.77]",4.474466666666666
3,pitcher_metal_original,27,pitcher,9474,"[0.13, 0.31]",4.474466666666666
3,box_wood_blue,28,box,9414,"[0.78, 0.36]",4.474466666666666
3,bag_paper_original,29,bag,9993,"[0.83, 0.86]",4.474466666666666
4,Sarah,1,bot_check,0,Sarah,5.701766666666667
4,table_metal_green,3,table,2726,"[0.57, 0.69]",5.701766666666667
4,bag_plastic_green,4,bag,8175,"[0.72, 0.55]",5.701766666666667
4,spoon_metal_green,5,spoon,4063,"[0.72, 0.8]",5.701766666666667
4,bottle_plastic_green,6,bottle,6327,"[0.69, 0.45]",5.701766666666667
4,bottle_glass_original,7,bottle,6512,"[0.7, 0.85]",5.701766666666667
4,spoon_plastic_blue,8,spoon,8462,"[0.64, 0.77]",5.701766666666667
4,pitcher_glass_blue,9,pitcher,7327,"[0.71, 0.9]",5.701766666666667
4,plate_plastic_pink,10,plate,10807,"[0.9, 0.84]",5.701766666666667
4,chair_metal_purple,11,chair,8624,"[0.71, 0.78]",5.701766666666667
4,jacket_leather_purple,12,jacket,17502,"[0.64, 0.81]",5.701766666666667
4,cup_metal_original,13,cup,5631,"[0.62, 0.54]",5.701766666666667
4,plate_paper_blue,14,plate,9817,"[0.8, 0.66]",5.701766666666667
4,bowl_glass_blue,15,bowl,17992,"[0.69, 0.76]",5.701766666666667
4,jacket_denim_green,16,jacket,18031,"[0.57, 0.71]",5.701766666666667
4,pitcher_plastic_green,17,pitcher,15136,"[0.54, 0.42]",5.701766666666667
4,bowl_metal_original,18,bowl,8887,"[0.72, 0.85]",5.701766666666667
4,boot_rubber_original,19,boot,10960,"[0.59, 0.7]",5.701766666666667
4,pitcher_metal_original,20,pitcher,32479,"[0.65, 0.79]",5.701766666666667
4,bag_paper_original,21,bag,4328,"[0.72, 0.56]",5.701766666666667
4,chair_wood_green,22,chair,18640,"[0.62, 0.71]",5.701766666666667
4,boot_leather_green,23,boot,11792,"[0.72, 0.82]",5.701766666666667
4,box_wood_blue,24,box,22471,"[0.67, 0.47]",5.701766666666667
4,chair_plastic_original,25,chair,7649,"[0.58, 0.74]",5.701766666666667
4,cup_plastic_blue,26,cup,2783,"[0.76, 0.6]",5.701766666666667
4,spoon_wood_original,27,spoon,4423,"[0.72, 0.82]",5.701766666666667
4,box_cardboard_green,28,box,2792,"[0.62, 0.71]",5.701766666666667
4,table_wood_blue,29,table,7857,"[0.59, 0.43]",5.701766666666667
5,Patricia,1,bot_check,0,Patricia,1.9038166666666667
5,bowl_glass_blue,3,bowl,5661,"[0.92, 0.8]",1.9038166666666667
5,spoon_plastic_blue,4,spoon,3959,"[0.59, 0.33]",1.9038166666666667
5,table_wood_blue,5,table,4264,"[0.64, 0.36]",1.9038166666666667
5,box_wood_blue,6,box,2968,"[0.85, 0.12]",1.9038166666666667
5,bottle_plastic_green,7,bottle,4720,"[0.9, 0.82]",1.9038166666666667
5,pitcher_glass_blue,8,pitcher,3095,"[0.75, 0.83]",1.9038166666666667
5,box_cardboard_green,9,box,3799,"[0.77, 0.13]",1.9038166666666667
5,chair_metal_purple,10,chair,3113,"[0.79, 0.08]",1.9038166666666667
5,pitcher_plastic_green,11,pitcher,3183,"[0.82, 0.15]",1.9038166666666667
5,boot_rubber_original,12,boot,3791,"[0.95, 0.96]",1.9038166666666667
5,cup_plastic_blue,13,cup,3408,"[0.96, 0.94]",1.9038166666666667
5,bottle_glass_original,14,bottle,2768,"[0.96, 0.93]",1.9038166666666667
5,spoon_metal_green,15,spoon,4153,"[0.87, 0]",1.9038166666666667
5,spoon_wood_original,16,spoon,3033,"[0.94, 0.93]",1.9038166666666667
5,plate_paper_blue,17,plate,4182,"[0.74, 0.33]",1.9038166666666667
5,cup_metal_original,18,cup,3066,"[0.94, 0.94]",1.9038166666666667
5,bowl_metal_original,19,bowl,2390,"[0.96, 0.94]",1.9038166666666667
5,chair_plastic_original,20,chair,2811,"[0.94, 0.49]",1.9038166666666667
5,boot_leather_green,21,boot,3150,"[0.84, 0.19]",1.9038166666666667
5,jacket_denim_green,22,jacket,3393,"[0.84, 0.58]",1.9038166666666667
5,jacket_leather_purple,23,jacket,3526,"[0.81, 0.39]",1.9038166666666667
5,bag_paper_original,24,bag,3730,"[0.98, 0.96]",1.9038166666666667
5,chair_wood_green,25,chair,3888,"[0.74, 0.11]",1.9038166666666667
5,bag_plastic_green,26,bag,5583,"[1, 0.64]",1.9038166666666667
5,table_metal_green,27,table,3616,"[0.9, 0.07]",1.9038166666666667
5,plate_plastic_pink,28,plate,3823,"[0.87, 0.49]",1.9038166666666667
5,pitcher_metal_original,29,pitcher,2822,"[0.97, 0.95]",1.9038166666666667
6,Elizabeth,1,bot_check,0,Elizabeth,4.433233333333333
6,spoon_plastic_blue,3,spoon,16277,"[0.81, 0.12]",4.433233333333333
6,bag_plastic_green,4,bag,11144,"[0.22, 0.13]",4.433233333333333
6,chair_plastic_original,5,chair,6808,"[0.88, 0.38]",4.433233333333333
6,plate_plastic_pink,6,plate,7023,"[0.96, 0.66]",4.433233333333333
6,box_wood_blue,7,box,36448,"[0.99, 0.03]",4.433233333333333
6,bowl_metal_original,8,bowl,4871,"[0.99, 0.99]",4.433233333333333
6,spoon_metal_green,9,spoon,4816,"[0.95, 0.18]",4.433233333333333
6,bottle_glass_original,10,bottle,10800,"[0.54, 0.52]",4.433233333333333
6,bottle_plastic_green,11,bottle,4935,"[0.89, 0.2]",4.433233333333333
6,boot_leather_green,12,boot,5120,"[0.95, 0.04]",4.433233333333333
6,bowl_glass_blue,13,bowl,4520,"[0.96, 0.56]",4.433233333333333
6,pitcher_glass_blue,14,pitcher,4608,"[0.96, 0.52]",4.433233333333333
6,table_wood_blue,15,table,5735,"[0.93, 0.14]",4.433233333333333
6,jacket_leather_purple,16,jacket,7649,"[0.73, 0.11]",4.433233333333333
6,box_cardboard_green,17,box,6695,"[0.97, 0.07]",4.433233333333333
6,cup_metal_original,18,cup,9107,"[1, 1]",4.433233333333333
6,spoon_wood_original,19,spoon,4172,"[1, 1]",4.433233333333333
6,jacket_denim_green,20,jacket,6864,"[0.93, 0.52]",4.433233333333333
6,table_metal_green,21,table,5663,"[0.8, 0.12]",4.433233333333333
6,boot_rubber_original,22,boot,4488,"[0.94, 0.9]",4.433233333333333
6,bag_paper_original,23,bag,3977,"[0.96, 0.95]",4.433233333333333
6,cup_plastic_blue,24,cup,5159,"[0.94, 0.79]",4.433233333333333
6,pitcher_plastic_green,25,pitcher,7383,"[0.71, 0.08]",4.433233333333333
6,chair_metal_purple,26,chair,11199,"[0.52, 0.06]",4.433233333333333
6,chair_wood_green,27,chair,7088,"[0.75, 0.06]",4.433233333333333
6,pitcher_metal_original,28,pitcher,10944,"[0.43, 0.42]",4.433233333333333
6,plate_paper_blue,29,plate,6584,"[0.92, 0.21]",4.433233333333333
7,Jessica,1,bot_check,0,Jessica,2.844133333333333
7,plate_plastic_pink,3,plate,7062,"[0.83, 0.31]",2.844133333333333
7,plate_paper_blue,4,plate,6132,"[0.71, 0.42]",2.844133333333333
7,pitcher_metal_original,5,pitcher,4793,"[0.89, 0.88]",2.844133333333333
7,pitcher_glass_blue,6,pitcher,4708,"[0.55, 0.29]",2.844133333333333
7,bowl_metal_original,7,bowl,3380,"[0.86, 0.9]",2.844133333333333
7,chair_metal_purple,8,chair,5063,"[0.53, 0.22]",2.844133333333333
7,bottle_glass_original,9,bottle,17725,"[0.82, 0.75]",2.844133333333333
7,pitcher_plastic_green,10,pitcher,4464,"[0.68, 0.36]",2.844133333333333
7,chair_plastic_original,11,chair,5864,"[0.65, 0.33]",2.844133333333333
7,jacket_leather_purple,12,jacket,5324,"[0.77, 0.16]",2.844133333333333
7,bottle_plastic_green,13,bottle,4671,"[0.69, 0.42]",2.844133333333333
7,table_metal_green,14,table,3325,"[0.77, 0.07]",2.844133333333333
7,bag_plastic_green,15,bag,4580,"[0.68, 0.04]",2.844133333333333
7,spoon_wood_original,16,spoon,3856,"[0.87, 0.88]",2.844133333333333
7,boot_rubber_original,17,boot,5020,"[0.84, 0.87]",2.844133333333333
7,jacket_denim_green,18,jacket,3808,"[0.83, 0.28]",2.844133333333333
7,chair_wood_green,19,chair,4104,"[0.64, 0.01]",2.844133333333333
7,bag_paper_original,20,bag,4796,"[0.92, 0.9]",2.844133333333333
7,cup_plastic_blue,21,cup,4636,"[0.89, 0.67]",2.844133333333333
7,cup_metal_original,22,cup,7392,"[0.7, 0.68]",2.844133333333333
7,boot_leather_green,23,boot,3885,"[0.58, 0.05]",2.844133333333333
7,box_cardboard_green,24,box,4720,"[0.67, 0.04]",2.844133333333333
7,table_wood_blue,25,table,5459,"[0.61, 0.1]",2.844133333333333
7,bowl_glass_blue,26,bowl,5668,"[0.73, 0.34]",2.844133333333333
7,box_wood_blue,27,box,4765,"[0.64, 0.23]",2.844133333333333
7,spoon_metal_green,28,spoon,5035,"[0.61, 0.08]",2.844133333333333
7,spoon_plastic_blue,29,spoon,8869,"[0.55, 0.06]",2.844133333333333
8,Jessica,1,bot_check,0,Jessica,2.1860666666666666
8,pitcher_glass_blue,3,pitcher,8740,"[1, 0.57]",2.1860666666666666
8,bag_plastic_green,4,bag,6370,"[1, 0.35]",2.1860666666666666
8,cup_metal_original,5,cup,2793,"[1, 1]",2.1860666666666666
8,pitcher_metal_original,6,pitcher,6584,"[1, 0.81]",2.1860666666666666
8,boot_leather_green,7,boot,8684,"[1, 0]",2.1860666666666666
8,boot_rubber_original,8,boot,3375,"[1, 1]",2.1860666666666666
8,bag_paper_original,9,bag,3037,"[1, 1]",2.1860666666666666
8,pitcher_plastic_green,10,pitcher,4754,"[1, 0.54]",2.1860666666666666
8,cup_plastic_blue,11,cup,3203,"[1, 0.8]",2.1860666666666666
8,chair_plastic_original,12,chair,5350,"[1, 0.68]",2.1860666666666666
8,box_wood_blue,13,box,7114,"[1, 0.11]",2.1860666666666666
8,jacket_denim_green,14,jacket,4290,"[1, 0.84]",2.1860666666666666
8,bottle_plastic_green,15,bottle,2718,"[1, 0.79]",2.1860666666666666
8,jacket_leather_purple,16,jacket,2710,"[1, 0.51]",2.1860666666666666
8,spoon_metal_green,17,spoon,2593,"[1, 0]",2.1860666666666666
8,spoon_wood_original,18,spoon,3239,"[1, 1]",2.1860666666666666
8,chair_metal_purple,19,chair,2499,"[1, 0]",2.1860666666666666
8,chair_wood_green,20,chair,3507,"[1, 0.14]",2.1860666666666666
8,table_metal_green,21,table,5210,"[1, 0]",2.1860666666666666
8,bowl_metal_original,22,bowl,2652,"[1, 1]",2.1860666666666666
8,table_wood_blue,23,table,3614,"[1, 0.1]",2.1860666666666666
8,plate_plastic_pink,24,plate,4434,"[1, 0.45]",2.1860666666666666
8,plate_paper_blue,25,plate,2430,"[1, 0.52]",2.1860666666666666
8,box_cardboard_green,26,box,2687,"[1, 0]",2.1860666666666666
8,bowl_glass_blue,27,bowl,3534,"[1, 0.74]",2.1860666666666666
8,spoon_plastic_blue,28,spoon,5178,"[1, 0.38]",2.1860666666666666
8,bottle_glass_original,29,bottle,3503,"[1, 0.97]",2.1860666666666666
9,Margaret,1,bot_check,0,Margaret,1.61245
9,table_wood_blue,3,table,2741,"[0.64, 0.4]",1.61245
9,box_cardboard_green,4,box,1545,"[0.58, 0.41]",1.61245
9,boot_leather_green,5,boot,1795,"[0.46, 0.32]",1.61245
9,jacket_leather_purple,6,jacket,1829,"[0.55, 0.12]",1.61245
9,pitcher_metal_original,7,pitcher,1804,"[0.66, 0.81]",1.61245
9,bowl_metal_original,8,bowl,3102,"[0.65, 0.75]",1.61245
9,bag_paper_original,9,bag,1773,"[0.67, 0.68]",1.61245
9,plate_paper_blue,10,plate,2152,"[0.5, 0.21]",1.61245
9,box_wood_blue,11,box,3063,"[0.66, 0.27]",1.61245
9,jacket_denim_green,12,jacket,8605,"[0.75, 0.42]",1.61245
9,chair_metal_purple,13,chair,2678,"[0.7, 0.32]",1.61245
9,bottle_glass_original,14,bottle,2125,"[0.83, 0.36]",1.61245
9,bottle_plastic_green,15,bottle,2204,"[0.79, 0.29]",1.61245
9,plate_plastic_pink,16,plate,3684,"[0.63, 0.25]",1.61245
9,boot_rubber_original,17,boot,6514,"[0.74, 0.27]",1.61245
9,chair_plastic_original,18,chair,2287,"[0.71, 0.25]",1.61245
9,pitcher_plastic_green,19,pitcher,1970,"[0.67, 0.27]",1.61245
9,spoon_wood_original,20,spoon,2235,"[0.68, 0.19]",1.61245
9,bowl_glass_blue,21,bowl,1356,"[0.69, 0.28]",1.61245
9,cup_metal_original,22,cup,1799,"[0.66, 0.23]",1.61245
9,spoon_plastic_blue,23,spoon,2535,"[0.62, 0.27]",1.61245
9,bag_plastic_green,24,bag,2765,"[0.63, 0.25]",1.61245
9,chair_wood_green,25,chair,1760,"[0.62, 0.24]",1.61245
9,table_metal_green,26,table,2295,"[0.62, 0.29]",1.61245
9,spoon_metal_green,27,spoon,10557,"[0.64, 0.28]",1.61245
9,pitcher_glass_blue,28,pitcher,3289,"[0.7, 0.21]",1.61245
9,cup_plastic_blue,29,cup,1825,"[0.67, 0.27]",1.61245
10,Sarah,1,bot_check,0,Sarah,6.963
10,box_wood_blue,3,box,6967,"[0.94, 0.07]",6.963
10,chair_wood_green,4,chair,3560,"[0.93, 0.04]",6.963
10,chair_plastic_original,5,chair,3866,"[0.9, 0.73]",6.963
10,bowl_metal_original,6,bowl,2993,"[0.9, 0.9]",6.963
10,cup_metal_original,7,cup,3062,"[0.89, 0.49]",6.963
10,table_metal_green,8,table,11643,"[0.79, 0.29]",6.963
10,cup_plastic_blue,9,cup,4169,"[0.91, 0.91]",6.963
10,bag_paper_original,10,bag,3528,"[0.92, 0.92]",6.963
10,bag_plastic_green,11,bag,4776,"[0.91, 0.16]",6.963
10,spoon_wood_original,12,spoon,2951,"[0.89, 0.87]",6.963
10,jacket_denim_green,13,jacket,3937,"[0.55, 0.18]",6.963
10,boot_leather_green,14,boot,9952,"[0.51, 0.08]",6.963
10,bowl_glass_blue,15,bowl,4016,"[0.71, 0.85]",6.963
10,plate_paper_blue,16,plate,5259,"[0.67, 0.15]",6.963
10,jacket_leather_purple,17,jacket,5024,"[0.38, 0.17]",6.963
10,pitcher_glass_blue,18,pitcher,30170,"[0.79, 0.33]",6.963
10,spoon_plastic_blue,19,spoon,4433,"[0.8, 0.17]",6.963
10,box_cardboard_green,20,box,242426,"[0.48, 0.15]",6.963
10,plate_plastic_pink,21,plate,5466,"[0.87, 0.14]",6.963
10,spoon_metal_green,22,spoon,9288,"[0.23, 0.22]",6.963
10,table_wood_blue,23,table,4159,"[0.81, 0.13]",6.963
10,boot_rubber_original,24,boot,3514,"[0.85, 0.87]",6.963
10,pitcher_plastic_green,25,pitcher,5825,"[0.83, 0.46]",6.963
10,bottle_glass_original,26,bottle,3241,"[0.87, 0.86]",6.963
10,chair_metal_purple,27,chair,4233,"[0.6, 0.12]",6.963
10,bottle_plastic_green,28,bottle,3639,"[0.79, 0.59]",6.963
10,pitcher_metal_original,29,pitcher,2561,"[0.87, 0.87]",6.963
11,Linda,1,bot_check,0,Linda,3.0978166666666667
11,pitcher_metal_original,3,pitcher,6599,"[0.55, 0.39]",3.0978166666666667
11,pitcher_plastic_green,4,pitcher,3039,"[0.63, 0.74]",3.0978166666666667
11,boot_leather_green,5,boot,3865,"[0.4, 0.52]",3.0978166666666667
11,boot_rubber_original,6,boot,3104,"[0.74, 0.5]",3.0978166666666667
11,chair_wood_green,7,chair,3889,"[0.33, 0.69]",3.0978166666666667
11,jacket_leather_purple,8,jacket,9590,"[0.4, 0.7]",3.0978166666666667
11,plate_paper_blue,9,plate,5584,"[0.39, 0.58]",3.0978166666666667
11,cup_plastic_blue,10,cup,3848,"[0.7, 0.49]",3.0978166666666667
11,spoon_wood_original,11,spoon,2679,"[0.61, 0.43]",3.0978166666666667
11,bowl_glass_blue,12,bowl,2697,"[0.38, 0.7]",3.0978166666666667
11,bag_plastic_green,13,bag,2479,"[0.55, 0.51]",3.0978166666666667
11,bottle_glass_original,14,bottle,4392,"[0.35, 0.76]",3.0978166666666667
11,table_wood_blue,15,table,2992,"[0.57, 0.43]",3.0978166666666667
11,box_wood_blue,16,box,2975,"[0.41, 0.73]",3.0978166666666667
11,spoon_metal_green,17,spoon,6720,"[0.36, 0.73]",3.0978166666666667
11,table_metal_green,18,table,4120,"[0.3, 0.59]",3.0978166666666667
11,cup_metal_original,19,cup,2808,"[0.64, 0.33]",3.0978166666666667
11,jacket_denim_green,20,jacket,3024,"[0.44, 0.64]",3.0978166666666667
11,pitcher_glass_blue,21,pitcher,2311,"[0.64, 0.36]",3.0978166666666667
11,bowl_metal_original,22,bowl,2379,"[0.57, 0.44]",3.0978166666666667
11,box_cardboard_green,23,box,8636,"[0.63, 0.38]",3.0978166666666667
11,spoon_plastic_blue,24,spoon,2337,"[0.42, 0.73]",3.0978166666666667
11,chair_plastic_original,25,chair,2255,"[0.6, 0.56]",3.0978166666666667
11,bottle_plastic_green,26,bottle,2294,"[0.35, 0.61]",3.0978166666666667
11,bag_paper_original,27,bag,2545,"[0.52, 0.28]",3.0978166666666667
11,plate_plastic_pink,28,plate,2968,"[0.38, 0.75]",3.0978166666666667
11,chair_metal_purple,29,chair,2272,"[0.61, 0.39]",3.0978166666666667
12,Linda,1,bot_check,0,linda,10.859366666666666
12,pitcher_plastic_green,3,pitcher,26814,"[0.73, 0.51]",10.859366666666666
12,table_metal_green,4,table,16905,"[0.73, 0.61]",10.859366666666666
12,plate_paper_blue,5,plate,5201,"[0.47, 0.81]",10.859366666666666
12,bowl_metal_original,6,bowl,6104,"[0.5, 0.65]",10.859366666666666
12,spoon_metal_green,7,spoon,9012,"[0.3, 0.87]",10.859366666666666
12,chair_metal_purple,8,chair,379472,"[0.6, 0.85]",10.859366666666666
12,bottle_plastic_green,9,bottle,13704,"[0.05, 0.19]",10.859366666666666
12,boot_leather_green,10,boot,8216,"[0.25, 0.93]",10.859366666666666
12,pitcher_glass_blue,11,pitcher,5139,"[0.32, 0.71]",10.859366666666666
12,cup_metal_original,12,cup,5068,"[0.23, 0.66]",10.859366666666666
12,pitcher_metal_original,13,pitcher,4697,"[0.19, 0.59]",10.859366666666666
12,spoon_wood_original,14,spoon,3758,"[0.17, 0.46]",10.859366666666666
12,jacket_denim_green,15,jacket,4016,"[0.21, 0.74]",10.859366666666666
12,bowl_glass_blue,16,bowl,5201,"[0.25, 0.77]",10.859366666666666
12,boot_rubber_original,17,boot,5424,"[0.32, 0.89]",10.859366666666666
12,chair_wood_green,18,chair,4800,"[0.26, 0.84]",10.859366666666666
12,jacket_leather_purple,19,jacket,4308,"[0.38, 0.82]",10.859366666666666
12,bottle_glass_original,20,bottle,4720,"[0.32, 0.89]",10.859366666666666
12,cup_plastic_blue,21,cup,5481,"[0.44, 0.55]",10.859366666666666
12,bag_plastic_green,22,bag,7728,"[0.14, 0.16]",10.859366666666666
12,box_cardboard_green,23,box,4823,"[0.14, 0.15]",10.859366666666666
12,bag_paper_original,24,bag,3332,"[0.13, 0.12]",10.859366666666666
