gameid	 time	 roundNum	 trialType	 extra	 clickedObjName	 clickedObjTrialType 	clickedObjCondition	 clickedObjTargetStatus	 clickedObjSpeakerLocs	 clickedObjListenerLocs	 alt1Name	 alt1TrialType	 alt1Condition	 alt1TargetStatus	 alt1SpeakerLocs	 alt1ListenerLocs	 alt2Name	 alt2TrialType	 alt2Condition	 alt2TargetStatus	 alt2SpeakerLocs	 alt2ListenerLocs	 alt3Name	 alt3TrialType	 alt3Condition	 alt3TargetStatus	 alt3SpeakerLocs	 alt3ListenerLocs	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps
1342-9	1619058222095	16	clickedObj		glove_big_green	overinformativeness	size_sufficient	target	2	4	glove_small_green	overinformativeness	size_sufficient	distractor	3	1	glove_small_green	overinformativeness	size_sufficient	distractor	4	2	glove_small_orange	overinformativeness	size_sufficient	distractor	1	3	1	1	0	big		1619058220203
1342-9	1619058233185	17	clickedObj		woman2_sad_fat	adjective_ordering	none	target	2	3	woman2_happy_skinny	adjective_ordering	none	distractor	4	4	woman2_sad_skinny	adjective_ordering	none	distractor	3	1	woman2_happy_fat	adjective_ordering	none	distractor	1	2	1	1	0	sad, large		1619058229596
1342-9	1619058240182	18	clickedObj		flower_big_yellow	overinformativeness	size_sufficient	target	3	1	flower_small_yellow	overinformativeness	size_sufficient	distractor	4	4	flower_small_yellow	overinformativeness	size_sufficient	distractor	2	2	flower_small_pink	overinformativeness	size_sufficient	distractor	1	3	1	1	0	large		1619058238442
1342-9	1619058248307	19	clickedObj		picture_bw_rectangular	adjective_ordering	none	target	4	4	picture_colored_rectangular	adjective_ordering	none	distractor	3	1	picture_bw_square	adjective_ordering	none	distractor	2	2	picture_colored_square	adjective_ordering	none	distractor	1	3	1	1	0	long grey		1619058245882
1342-9	1619058253856	20	clickedObj		button_small_green	overinformativeness	size_sufficient	target	1	2	button_big_green	overinformativeness	size_sufficient	distractor	3	3	button_big_blue	overinformativeness	size_sufficient	distractor	4	1	button_big_green	overinformativeness	size_sufficient	distractor	2	4	1	1	0	small		1619058252250
1342-9	1619058258998	21	clickedObj		chair_big_blue	overinformativeness	size_sufficient	target	1	4	chair_small_yellow	overinformativeness	size_sufficient	distractor	4	2	chair_small_blue	overinformativeness	size_sufficient	distractor	3	3	chair_small_blue	overinformativeness	size_sufficient	distractor	2	1	1	1	0	big		1619058257418
1342-9	1619058263781	22	clickedObj		brush_small_red	overinformativeness	size_sufficient	target	3	4	brush_big_blue	overinformativeness	size_sufficient	distractor	4	2	brush_big_red	overinformativeness	size_sufficient	distractor	1	1	brush_big_red	overinformativeness	size_sufficient	distractor	2	3	1	1	0	small		1619058262322
1342-9	1619058268808	23	clickedObj		carrot	filler	none	target	3	4	cow	filler	none	distractor	2	2	door	filler	none	distractor	1	1	pitcher	filler	none	distractor	4	3	1	1	0	carrot		1619058267458
1342-9	1619058275215	24	clickedObj		pencil_short_blue	adjective_ordering	none	target	2	4	pencil_short_black	adjective_ordering	none	distractor	3	3	pencil_long_black	adjective_ordering	none	distractor	4	1	pencil_long_blue	adjective_ordering	none	distractor	1	2	1	1	0	small blue		1619058273194
1342-9	1619058280948	25	clickedObj		shoe_small_pink	overinformativeness	color_sufficient	target	1	3	show_small_yellow	overinformativeness	color_sufficient	distractor	3	1	shoe_big_yellow	overinformativeness	color_sufficient	distractor	2	2	show_small_yellow	overinformativeness	color_sufficient	distractor	4	4	1	1	0	pink		1619058279425
1342-9	1619058285697	26	clickedObj		cow	filler	none	target	2	2	pitcher	filler	none	distractor	3	1	door	filler	none	distractor	1	3	carrot	filler	none	distractor	4	4	1	1	0	cow		1619058283976
1342-9	1619058290337	27	clickedObj		pig	filler	none	target	1	1	fish	filler	none	distractor	3	4	horse	filler	none	distractor	4	2	tomato	filler	none	distractor	2	3	1	1	0	pig		1619058288535
1342-9	1619058302777	28	clickedObj		spoon_metal_dirty	adjective_ordering	none	target	1	3	spoon_metal_clean	adjective_ordering	none	distractor	3	1	spoon_wooden_dirty	adjective_ordering	none	distractor	2	2	spoon_wooden_clean	adjective_ordering	none	distractor	4	4	1	1	0	gross silver		1619058297088
1342-9	1619058308591	29	clickedObj		balloon_big_pink	overinformativeness	size_sufficient	target	2	3	baloon_small_yellow	overinformativeness	size_sufficient	distractor	4	4	baloon_small_pink	overinformativeness	size_sufficient	distractor	1	1	baloon_small_pink	overinformativeness	size_sufficient	distractor	3	2	1	1	0	big pink		1619058307297
1342-9	1619058313551	30	clickedObj		umbrella_big_blue	overinformativeness	color_sufficient	target	3	1	umbrella_small_green	overinformativeness	color_sufficient	distractor	4	3	umbrella_big_green	overinformativeness	color_sufficient	distractor	1	2	umbrella_big_green	overinformativeness	color_sufficient	distractor	2	4	1	1	0	blue		1619058312013
1342-9	1619058319356	31	clickedObj		pot_big_blue	overinformativeness	color_sufficient	target	3	4	pot_small_green	overinformativeness	color_sufficient	distractor	1	1	pot_big_green	overinformativeness	color_sufficient	distractor	2	2	pot_big_green	overinformativeness	color_sufficient	distractor	4	3	1	1	0	blue		1619058317752
1342-9	1619058324431	32	clickedObj		clock_small_purple	overinformativeness	size_sufficient	target	1	3	clock_big_purple	overinformativeness	size_sufficient	distractor	2	4	clock_big_yellow	overinformativeness	size_sufficient	distractor	4	1	clock_big_purple	overinformativeness	size_sufficient	distractor	3	2	1	1	0	small		1619058323055
1342-9	1619058330048	33	clickedObj		glasses_big_blue	overinformativeness	size_sufficient	target	2	4	glasses_small_blue	overinformativeness	size_sufficient	distractor	4	1	glasses_small_red	overinformativeness	size_sufficient	distractor	3	2	glasses_small_blue	overinformativeness	size_sufficient	distractor	1	3	1	1	0	big		1619058328345
1342-9	1619058335757	34	clickedObj		pepper_big_green	overinformativeness	color_sufficient	target	2	1	pepper_big_red	overinformativeness	color_sufficient	distractor	4	4	pepper_big_red	overinformativeness	color_sufficient	distractor	1	3	pepper_small_red	overinformativeness	color_sufficient	distractor	3	2	1	1	0	green		1619058333808
1342-9	1619058340841	35	clickedObj		scissors_small_blue	overinformativeness	color_sufficient	target	4	2	scissors_big_green	overinformativeness	color_sufficient	distractor	1	3	scissors_small_green	overinformativeness	color_sufficient	distractor	3	4	scissors_small_green	overinformativeness	color_sufficient	distractor	2	1	1	1	0	blue		1619058339144
1342-9	1619058345110	36	clickedObj		door	filler	none	target	3	2	pitcher	filler	none	distractor	1	3	cow	filler	none	distractor	2	1	carrot	filler	none	distractor	4	4	1	1	0	door		1619058343991
1342-9	1619058349772	37	clickedObj		lighter_small_white	overinformativeness	color_sufficient	target	1	2	lighter_small_black	overinformativeness	color_sufficient	distractor	2	3	lighter_small_black	overinformativeness	color_sufficient	distractor	3	1	lighter_big_black	overinformativeness	color_sufficient	distractor	4	4	1	1	0	white		1619058348616
1342-9	1619058353978	38	clickedObj		dog	filler	none	target	4	2	strawberry	filler	none	distractor	2	4	chick	filler	none	distractor	3	3	butterfly	filler	none	distractor	1	1	1	1	0	dog		1619058352736
1342-9	1619058359064	39	clickedObj		apple_big_green	overinformativeness	size_sufficient	target	3	3	apple_small_green	overinformativeness	size_sufficient	distractor	1	2	apple_small_green	overinformativeness	size_sufficient	distractor	4	4	apple_small_red	overinformativeness	size_sufficient	distractor	2	1	1	1	0	big		1619058357384
1342-9	1619058364464	40	clickedObj		lipstick_small_pink	overinformativeness	color_sufficient	target	2	3	lipstick_big_red	overinformativeness	color_sufficient	distractor	3	1	lipstick_small_red	overinformativeness	color_sufficient	distractor	4	2	lipstick_small_red	overinformativeness	color_sufficient	distractor	1	4	1	1	0	pink		1619058362872
1342-9	1619058369629	41	clickedObj		key_small_gold	overinformativeness	size_sufficient	target	4	4	key_big_gold	overinformativeness	size_sufficient	distractor	2	2	key_big_silver	overinformativeness	size_sufficient	distractor	1	3	key_big_gold	overinformativeness	size_sufficient	distractor	3	1	1	1	0	small		1619058367575
1342-9	1619058380587	42	clickedObj		box_closed_cardboard	adjective_ordering	none	target	4	4	box_closed_wood	adjective_ordering	none	distractor	1	3	box_open_wood	adjective_ordering	none	distractor	2	1	box_open_cardboard	adjective_ordering	none	distractor	3	2	1	1	0	closed cardboard		1619058378030
1342-9	1619058390083	43	clickedObj		earring_small_triangular	adjective_ordering	none	target	3	4	earring_big_round	adjective_ordering	none	distractor	4	2	earring_big_triangular	adjective_ordering	none	distractor	1	3	earring_small_round	adjective_ordering	none	distractor	2	1	1	1	0	small triangle		1619058387255
1342-9	1619058398608	44	clickedObj		hair_curly_blonde	adjective_ordering	none	target	4	4	hair_curly_brown	adjective_ordering	none	distractor	1	1	hair_straight_brown	adjective_ordering	none	distractor	3	3	hair_straight_blond	adjective_ordering	none	distractor	2	2	1	1	0	wavy blonde		1619058396367
1342-9	1619058403822	45	clickedObj		cat_small_black	overinformativeness	size_sufficient	target	1	1	cat_big_white	overinformativeness	size_sufficient	distractor	2	2	cat_big_black	overinformativeness	size_sufficient	distractor	4	4	cat_big_black	overinformativeness	size_sufficient	distractor	3	3	1	1	0	small		1619058401887
1342-9	1619058408397	46	clickedObj		skirt_big_blue	overinformativeness	color_sufficient	target	1	2	skirt_big_green	overinformativeness	color_sufficient	distractor	4	1	skirt_small_green	overinformativeness	color_sufficient	distractor	2	4	skirt_big_green	overinformativeness	color_sufficient	distractor	3	3	1	1	0	blue		1619058407094
1342-9	1619058413448	47	clickedObj		tie_big_red	overinformativeness	color_sufficient	target	4	1	tie_big_blue	overinformativeness	color_sufficient	distractor	3	3	tie_big_blue	overinformativeness	color_sufficient	distractor	2	4	tie_small_blue	overinformativeness	color_sufficient	distractor	1	2	1	1	0	red		1619058411878
1342-9	1619058418557	48	clickedObj		bowl	filler	none	target	1	3	banana	filler	none	distractor	2	1	guitar	filler	none	distractor	3	4	elephant	filler	none	distractor	4	2	1	1	0	bowl		1619058416770
1342-9	1619058423780	49	clickedObj		knife_small_red	overinformativeness	size_sufficient	target	3	4	knife_big_red	overinformativeness	size_sufficient	distractor	2	3	knife_big_blue	overinformativeness	size_sufficient	distractor	1	1	knife_big_red	overinformativeness	size_sufficient	distractor	4	2	1	1	0	small		1619058422166
1342-9	1619058428178	50	clickedObj		pants_small_pink	overinformativeness	color_sufficient	target	3	2	pants_small_green	overinformativeness	color_sufficient	distractor	2	1	pants_small_green	overinformativeness	color_sufficient	distractor	1	3	pants_big_green	overinformativeness	color_sufficient	distractor	4	4	1	1	0	pink		1619058426776
1342-9	1619058435648	51	clickedObj		fish	filler	none	target	2	1	horse	filler	none	distractor	3	2	tomato	filler	none	distractor	4	4	pig	filler	none	distractor	1	3	1	1	0	nemo :P		1619058432661
1342-9	1619058440333	52	clickedObj		tshirt_small_orange	overinformativeness	color_sufficient	target	3	1	tshirt_small_yellow	overinformativeness	color_sufficient	distractor	1	3	tshirt_small_yellow	overinformativeness	color_sufficient	distractor	4	4	tshirt_big_yellow	overinformativeness	color_sufficient	distractor	2	2	1	1	0	orange		1619058439125
1342-9	1619058444555	53	clickedObj		dress_small_green	overinformativeness	size_sufficient	target	1	3	dress_big_green	overinformativeness	size_sufficient	distractor	3	4	dress_big_blue	overinformativeness	size_sufficient	distractor	2	2	dress_big_green	overinformativeness	size_sufficient	distractor	4	1	1	1	0	small		1619058443285
1342-9	1619058460030	54	clickedObj		man_young_bearded	adjective_ordering	none	target	4	4	man_young_cleanshaven	adjective_ordering	none	distractor	2	2	man_old_bearded	adjective_ordering	none	distractor	3	3	man_old_cleanshaven	adjective_ordering	none	distractor	1	1	1	1	0	beard not tilted		1619058454310
1342-9	1619058474944	55	clickedObj		nails_red_matte	adjective_ordering	none	target	1	3	nails_black_glossy	adjective_ordering	none	distractor	2	2	nails_red_glossy	adjective_ordering	none	distractor	3	1	nails_black_matte	adjective_ordering	none	distractor	4	4	1	1	0	red with less shine		1619058472109
1342-9	1619058479092	56	clickedObj		banana	filler	none	target	2	3	guitar	filler	none	distractor	1	2	bowl	filler	none	distractor	4	4	elephant	filler	none	distractor	3	1	1	1	0	banana		1619058477868
1342-9	1619058484208	57	clickedObj		toothbrush_big_purple	overinformativeness	color_sufficient	target	4	4	toothbrush_big_green	overinformativeness	color_sufficient	distractor	3	3	toothbrush_small_green	overinformativeness	color_sufficient	distractor	2	1	toothbrush_big_green	overinformativeness	color_sufficient	distractor	1	2	1	1	0	purple		1619058482685
1342-9	1619058489635	58	clickedObj		lock_big_silver	overinformativeness	color_sufficient	target	2	1	lock_big_gold	overinformativeness	color_sufficient	distractor	4	4	lock_big_gold	overinformativeness	color_sufficient	distractor	3	3	lock_small_gold	overinformativeness	color_sufficient	distractor	1	2	1	1	0	silver		1619058487716
1342-9	1619058498701	59	clickedObj		shorts_wet_red	adjective_ordering	none	target	3	1	shorts_dry_green	adjective_ordering	none	distractor	1	3	shorts_wet_green	adjective_ordering	none	distractor	4	2	shorts_dry_red	adjective_ordering	none	distractor	2	4	1	1	0	red wrinkled		1619058496477
1342-9	1619058503907	60	clickedObj		socks_big_blue	overinformativeness	color_sufficient	target	2	3	socks_big_green	overinformativeness	color_sufficient	distractor	4	2	socks_big_green	overinformativeness	color_sufficient	distractor	3	4	socks_small_green	overinformativeness	color_sufficient	distractor	1	1	1	1	0	blue		1619058502317
8796-a	1619065746149	1	clickedObj		horse	filler	none	distractor	3	3	tomato	filler	none	target	2	2	pig	filler	none	distractor	4	4	fish	filler	none	distractor	1	1	1	0	1		jnfk	1619065745639
8796-a	1619065748811	2	clickedObj		guitar	filler	none	distractor	3	3	bowl	filler	none	distractor	2	4	elephant	filler	none	target	4	1	banana	filler	none	distractor	1	2	1	0	1		jhtk	1619065748404
8796-a	1619065751456	3	clickedObj		dog	filler	none	distractor	1	3	strawberry	filler	none	distractor	3	2	butterfly	filler	none	target	4	1	chick	filler	none	distractor	2	4	1	0	1		jdtyj	1619065750889
8796-a	1619065754202	4	clickedObj		pig	filler	none	distractor	1	3	fish	filler	none	distractor	3	2	horse	filler	none	target	2	4	tomato	filler	none	distractor	4	1	1	0	1		jmdrtky	1619065753644
8796-a	1619065756414	5	clickedObj		chick	filler	none	distractor	2	3	dog	filler	none	distractor	3	1	butterfly	filler	none	distractor	1	4	strawberry	filler	none	target	4	2	1	0	1		hjdkmut	1619065755875
8796-a	1619065758804	6	clickedObj		frog_striped_green	adjective_ordering	none	distractor	1	3	frog_spotted_red	adjective_ordering	none	distractor	2	2	frog_spotted_green	adjective_ordering	none	target	3	1	frog_striped_red	adjective_ordering	none	distractor	4	4	1	0	1		kruk	1619065758370
8796-a	1619065761456	7	clickedObj		tshirt_big_yellow	overinformativeness	color_sufficient	distractor	2	2	tshirt_small_orange	overinformativeness	color_sufficient	target	1	1	tshirt_small_yellow	overinformativeness	color_sufficient	distractor	4	3	tshirt_small_yellow	overinformativeness	color_sufficient	distractor	3	4	1	0	1		njmdtykd	1619065760854
8796-a	1619065764006	8	clickedObj		toothbrush_big_green	overinformativeness	color_sufficient	distractor	4	3	toothbrush_big_green	overinformativeness	color_sufficient	distractor	1	4	toothbrush_small_green	overinformativeness	color_sufficient	distractor	3	1	toothbrush_big_purple	overinformativeness	color_sufficient	target	2	2	1	0	1		jtyk	1619065763408
8796-a	1619065767306	9	clickedObj		door	filler	none	distractor	1	3	pitcher	filler	none	distractor	2	1	carrot	filler	none	distractor	3	2	cow	filler	none	target	4	4	1	0	1		jfk,	1619065765851
8796-a	1619065770309	10	clickedObj		door	filler	none	target	3	3	pitcher	filler	none	distractor	2	4	carrot	filler	none	distractor	1	1	cow	filler	none	distractor	4	2	1	0	1		mryu	1619065769508
8796-a	1619065772855	11	clickedObj		chair_big_blue	overinformativeness	size_sufficient	distractor	1	3	chair_small_blue	overinformativeness	size_sufficient	target	2	4	chair_big_yellow	overinformativeness	size_sufficient	distractor	4	2	chair_big_blue	overinformativeness	size_sufficient	distractor	3	1	1	0	1		tsrj	1619065772318
8796-a	1619065775881	12	clickedObj		flower_small_pink	overinformativeness	size_sufficient	distractor	1	3	flower_small_yellow	overinformativeness	size_sufficient	distractor	4	4	flower_big_yellow	overinformativeness	size_sufficient	target	2	1	flower_small_yellow	overinformativeness	size_sufficient	distractor	3	2	1	0	1		yy	1619065775138
8796-a	1619065778653	13	clickedObj		woman_young_happy	adjective_ordering	none	distractor	1	3	woman_young_sad	adjective_ordering	none	target	3	4	woman_old_sad	adjective_ordering	none	distractor	4	1	woman_old_happy	adjective_ordering	none	distractor	2	2	1	0	1		yy	1619065778250
8796-a	1619065781932	14	clickedObj		guitar	filler	none	distractor	1	3	banana	filler	none	distractor	3	1	elephant	filler	none	distractor	2	4	bowl	filler	none	target	4	2	1	0	1		yy	1619065780805
8796-a	1619065785989	15	clickedObj		pants_big_green	overinformativeness	color_sufficient	distractor	3	3	pants_big_pink	overinformativeness	color_sufficient	target	1	1	pants_small_green	overinformativeness	color_sufficient	distractor	4	4	pants_big_green	overinformativeness	color_sufficient	distractor	2	2	1	0	1		yy	1619065784292
8796-a	1619065790228	16	clickedObj		clock_small_yellow	overinformativeness	size_sufficient	distractor	4	3	clock_big_yellow	overinformativeness	size_sufficient	target	1	1	clock_small_yellow	overinformativeness	size_sufficient	distractor	2	2	clock_small_purple	overinformativeness	size_sufficient	distractor	3	4	1	0	1		yyy	1619065788907
8796-a	1619065794973	17	clickedObj		lipstick_big_red	overinformativeness	color_sufficient	distractor	3	3	lipstick_small_red	overinformativeness	color_sufficient	distractor	2	4	lipstick_small_pink	overinformativeness	color_sufficient	target	1	2	lipstick_small_red	overinformativeness	color_sufficient	distractor	4	1	1	0	1		yyyy	1619065793224
8796-a	1619065797287	18	clickedObj		lock_big_gold	overinformativeness	color_sufficient	target	3	3	lock_small_silver	overinformativeness	color_sufficient	distractor	4	2	lock_big_silver	overinformativeness	color_sufficient	distractor	2	4	lock_big_silver	overinformativeness	color_sufficient	distractor	1	1	1	0	1		yyy	1619065796845
8796-a	1619065799663	19	clickedObj		box_closed_cardboard	adjective_ordering	none	target	3	3	box_closed_wood	adjective_ordering	none	distractor	2	4	box_open_cardboard	adjective_ordering	none	distractor	1	1	box_open_wood	adjective_ordering	none	distractor	4	2	1	0	1		yy	1619065799251
8796-a	1619065802778	20	clickedObj		knife_big_red	overinformativeness	size_sufficient	distractor	4	3	knife_big_blue	overinformativeness	size_sufficient	distractor	2	2	knife_big_red	overinformativeness	size_sufficient	distractor	1	4	knife_small_red	overinformativeness	size_sufficient	target	3	1	1	0	1		yyy	1619065802388
8796-a	1619065806592	21	clickedObj		glasses_small_red	overinformativeness	size_sufficient	target	2	3	glasses_big_blue	overinformativeness	size_sufficient	distractor	1	4	glasses_big_red	overinformativeness	size_sufficient	distractor	4	1	glasses_big_red	overinformativeness	size_sufficient	distractor	3	2	1	0	1		yyy	1619065806227
8796-a	1619065808994	22	clickedObj		baloon_small_yellow	overinformativeness	size_sufficient	distractor	4	3	baloon_small_yellow	overinformativeness	size_sufficient	distractor	3	1	baloon_small_pink	overinformativeness	size_sufficient	distractor	2	4	balloon_big_yellow	overinformativeness	size_sufficient	target	1	2	1	0	1		yy	1619065808645
8796-a	1619065811420	23	clickedObj		glove_big_orange	overinformativeness	size_sufficient	distractor	2	3	glove_big_green	overinformativeness	size_sufficient	distractor	3	2	glove_small_orange	overinformativeness	size_sufficient	target	1	4	glove_big_orange	overinformativeness	size_sufficient	distractor	4	1	1	0	1		yyy	1619065810948
8796-a	1619065813572	24	clickedObj		ball_small_yellow	overinformativeness	size_sufficient	target	4	3	ball_big_purple	overinformativeness	size_sufficient	distractor	2	1	ball_big_yellow	overinformativeness	size_sufficient	distractor	1	4	ball_big_yellow	overinformativeness	size_sufficient	distractor	3	2	1	0	1		yyy	1619065813207
8796-a	1619065816168	25	clickedObj		butterfly	filler	none	distractor	1	3	dog	filler	none	target	3	1	strawberry	filler	none	distractor	4	4	chick	filler	none	distractor	2	2	1	0	1		yyy	1619065815676
8796-a	1619065819373	26	clickedObj		bag_small_red	overinformativeness	size_sufficient	distractor	1	3	bag_small_blue	overinformativeness	size_sufficient	distractor	2	2	bag_small_red	overinformativeness	size_sufficient	distractor	3	4	bag_big_red	overinformativeness	size_sufficient	target	4	1	1	0	1		yyy	1619065818469
8796-a	1619065824132	27	clickedObj		pepper_small_green	overinformativeness	color_sufficient	distractor	4	3	pepper_small_green	overinformativeness	color_sufficient	distractor	3	2	pepper_small_red	overinformativeness	color_sufficient	target	2	4	pepper_big_green	overinformativeness	color_sufficient	distractor	1	1	1	0	1		yyy	1619065823749
8796-a	1619065827922	28	clickedObj		pot_big_green	overinformativeness	color_sufficient	distractor	3	3	pot_big_blue	overinformativeness	color_sufficient	target	1	2	pot_big_green	overinformativeness	color_sufficient	distractor	2	4	pot_small_green	overinformativeness	color_sufficient	distractor	4	1	1	0	1		yyy	1619065827644
8796-a	1619065833459	29	clickedObj		cat_big_white	overinformativeness	size_sufficient	target	4	3	cat_small_white	overinformativeness	size_sufficient	distractor	3	1	cat_small_black	overinformativeness	size_sufficient	distractor	1	2	cat_small_white	overinformativeness	size_sufficient	distractor	2	4	1	0	1		yyy	1619065832863
8796-a	1619065837379	30	clickedObj		button_big_blue	overinformativeness	size_sufficient	distractor	4	3	button_small_blue	overinformativeness	size_sufficient	target	1	4	button_big_green	overinformativeness	size_sufficient	distractor	2	2	button_big_blue	overinformativeness	size_sufficient	distractor	3	1	1	0	1		yyy	1619065836446
8796-a	1619065844460	31	clickedObj		woman2_sad_fat	adjective_ordering	none	distractor	2	3	woman2_happy_skinny	adjective_ordering	none	distractor	1	4	woman2_happy_fat	adjective_ordering	none	distractor	4	2	woman2_sad_skinny	adjective_ordering	none	target	3	1	1	0	1		hrtghjn	1619065843859
8796-a	1619065847463	32	clickedObj		spoon_metal_dirty	adjective_ordering	none	target	2	3	spoon_metal_clean	adjective_ordering	none	distractor	4	4	spoon_wooden_dirty	adjective_ordering	none	distractor	3	2	spoon_wooden_clean	adjective_ordering	none	distractor	1	1	1	0	1		hghsjn	1619065847041
8796-a	1619065849562	33	clickedObj		socks_big_green	overinformativeness	color_sufficient	distractor	3	3	socks_small_green	overinformativeness	color_sufficient	distractor	2	1	socks_big_blue	overinformativeness	color_sufficient	target	4	4	socks_big_green	overinformativeness	color_sufficient	distractor	1	2	1	0	1		bsns	1619065849166
8796-a	1619065853265	34	clickedObj		pig	filler	none	target	2	3	tomato	filler	none	distractor	3	1	horse	filler	none	distractor	1	2	fish	filler	none	distractor	4	4	1	0	1		nbsrns	1619065852185
8796-a	1619065857952	35	clickedObj		tomato	filler	none	distractor	3	3	horse	filler	none	distractor	4	4	pig	filler	none	distractor	2	2	fish	filler	none	target	1	1	1	0	1		srjsr	1619065856314
8796-a	1619065862546	36	clickedObj		apple_small_red	overinformativeness	size_sufficient	target	1	3	apple_big_red	overinformativeness	size_sufficient	distractor	4	1	apple_big_red	overinformativeness	size_sufficient	distractor	3	4	apple_big_green	overinformativeness	size_sufficient	distractor	2	2	1	0	1		hrstjr	1619065860407
8796-a	1619065866238	37	clickedObj		bottle_plastic_big	adjective_ordering	none	distractor	3	3	bottle_glass_big	adjective_ordering	none	distractor	2	1	bottle_plastic_small	adjective_ordering	none	target	4	4	bottle_glass_small	adjective_ordering	none	distractor	1	2	1	0	1		trhtrhhrht	1619065865744
